"Município de notificação";"Ign/Branco";"Analfabeto";"1ª a 4ª série incompleta do EF";"4ª série completa do EF";"5ª a 8ª série incompleta do EF";"Ensino fundamental completo";"Ensino médio incompleto";"Ensino médio completo";"Educação superior incompleta";"Educação superior completa";"Total"
"290390 BOM JESUS DA LAPA";-;-;-;-;-;-;-;-;-;1;1
"290570 CAMACARI";1;-;-;-;-;-;-;4;1;2;8
"291080 FEIRA DE SANTANA";1;1;1;-;1;2;2;6;-;19;33
"291280 IBIRAPUA";-;-;-;1;-;-;-;-;-;-;1
"291320 IBOTIRAMA";2;-;-;-;-;-;-;-;-;-;2
"291360 ILHEUS";1;-;-;-;-;-;-;1;-;-;2
"291470 ITABERABA";-;-;1;-;-;-;-;1;-;1;3
"291480 ITABUNA";2;-;-;-;-;-;2;4;-;6;14
"291750 JACOBINA";-;-;-;-;-;-;-;1;-;-;1
"291800 JEQUIE";-;-;-;-;-;-;-;-;1;1;2
"292740 SALVADOR";6;-;-;-;-;-;1;13;3;8;31
"292870 SANTO ANTONIO DE JESUS";2;-;-;-;-;-;-;1;1;1;5
"292950 SAO SEBASTIAO DO PASSE";4;-;-;-;-;-;-;-;-;1;5
"293330 VITORIA DA CONQUISTA";8;-;-;-;-;-;-;-;-;-;8
"Total";27;1;2;1;1;2;5;31;6;40;116

