"Município de notificação";"Ign/Branco";"Analfabeto";"1ª a 4ª série incompleta do EF";"4ª série completa do EF";"5ª a 8ª série incompleta do EF";"Ensino fundamental completo";"Ensino médio incompleto";"Ensino médio completo";"Educação superior incompleta";"Educação superior completa";"Total"
"290070 ALAGOINHAS";-;-;-;-;-;-;-;1;-;2;3
"290320 BARREIRAS";3;-;-;-;-;-;-;-;1;1;5
"290520 CAETITE";-;-;-;-;-;-;-;-;1;1;2
"290570 CAMACARI";-;-;-;-;-;-;-;2;-;1;3
"290840 CONCEICAO DO COITE";-;-;-;-;1;-;-;-;-;1;2
"291080 FEIRA DE SANTANA";1;-;-;-;-;-;1;19;5;13;39
"291470 ITABERABA";-;-;1;-;-;-;2;4;-;-;7
"291480 ITABUNA";3;-;-;-;-;-;-;-;-;-;3
"291840 JUAZEIRO";-;-;-;-;-;-;-;1;-;1;2
"291920 LAURO DE FREITAS";-;-;-;-;-;-;-;-;-;1;1
"292510 POCOES";15;2;2;-;1;3;1;1;-;-;25
"292580 QUEIMADAS";-;-;-;1;-;-;-;1;-;2;4
"292700 RIO REAL";-;-;-;-;-;-;-;1;-;-;1
"292740 SALVADOR";9;-;-;-;-;-;-;7;3;10;29
"292870 SANTO ANTONIO DE JESUS";7;-;-;-;-;-;-;2;3;2;14
"292890 SAO DESIDERIO";1;-;-;-;-;-;-;-;-;-;1
"293135 TEIXEIRA DE FREITAS";-;-;-;-;-;1;-;1;-;4;6
"293330 VITORIA DA CONQUISTA";15;-;-;-;-;-;-;-;-;-;15
"Total";54;2;3;1;2;4;4;40;13;39;162 
